tweet_id,in_reply_to_status_id,tweet_timestamp,source,tweet_text,dog_name,dog_stage,dog_rating,display_text_range,retweet_count,favorite_count,prediction,confidence_level
892420643555336193,,2017-08-01 16:23:56+00:00,iPhone,This is Phineas. He's a mystical boy. Only ever appears in the hole of a donut. / https://t.co/MgUWQdJU,Phineas,None,13.0,"[0, 85]",8853,39467,NaN,0.0
892177421306343426,,2017-08-01 00:17:27+00:00,iPhone,"This is Tilly. She's just checking pup on you. Hopes you're doing ok. If not, she's available for pats, snugs, boops, the whole bit. / https://t.co/XxuqeIV",Tilly,None,13.0,"[0, 138]",6514,33819,Chihuahua,0.323581
891815181378084864,,2017-07-31 00:18:03+00:00,iPhone,This is Archie. He is a rare Norwegian Pouncing Corgo. Lives in the tall grass. You never know when one may strike. / https://t.co/wUnZnhtVJB,Archie,None,12.0,"[0, 121]",4328,25461,Chihuahua,0.716012
891689557279858688,,2017-07-30 15:58:51+00:00,iPhone,This is Darla. She commenced a snooze mid meal. / happens to the best of us https://t.co/tDdaqLQ,Darla,None,13.0,"[0, 79]",8964,42908,Labrador_retriever,0.168086
891327558926688256,,2017-07-29 16:00:24+00:00,iPhone,"This is Franklin. He would like you to stop calling him ""cute."" He is a very fierce shark and should be respected as such. / #BarkWeek https://t.co/AtUZnff",Franklin,None,12.0,"[0, 138]",9774,41048,basset,0.555712
891087950875897856,,2017-07-29 00:08:17+00:00,iPhone,Here we have a majestic great white breaching off South Africa's coast. Absolutely h*ckin breathtaking. / (IG: tucker_marlo) #BarkWeek https://t.co/kQfDDRmh,,None,13.0,"[0, 138]",3261,20562,Chesapeake_Bay_retriever,0.425595
890971913173991426,,2017-07-28 16:27:12+00:00,iPhone,"Meet Jax. He enjoys ice cream so much he gets nervous around it. / help Jax enjoy more things by clicking below

https://t.co/ZrhWfAsH https://t.co/tVJBRMnhxl",Jax,None,13.0,"[0, 140]",2158,12041,Appenzeller,0.34170300000000003
890729181411237888,,2017-07-28 00:22:40+00:00,iPhone,When you watch your owner call another dog a good boy but then they turn back to you and say you're a great boy. / https://t.co/vnONBcwxq,,None,13.0,"[0, 118]",16716,56848,Pomeranian,0.566142
890609185150312448,,2017-07-27 16:25:51+00:00,iPhone,This is Zoey. She doesn't want to be one of the scary sharks. Just wants to be a snuggly pettable boatpet. / #BarkWeek https://t.co/TwLuAGHb,Zoey,None,13.0,"[0, 122]",4429,28226,Irish_terrier,0.487574
890240255349198849,,2017-07-26 15:59:51+00:00,iPhone,This is Cassie. She is a college pup. Studying international doggo communication and stick theory. / so elegant much sophisticate https://t.co/tbfwzSA,Cassie,doggo,14.0,"[0, 133]",7711,32467,Pembroke,0.511319
890006608113172480,,2017-07-26 00:31:25+00:00,iPhone,This is Koda. He is a South Australian deckshark. Deceptively deadly. Frighteningly majestic. / would risk a petting #BarkWeek https://t.co/dVPWBMme,Koda,None,13.0,"[0, 130]",7624,31166,Samoyed,0.957979
889880896479866881,,2017-07-25 16:11:53+00:00,iPhone,This is Bruno. He is a service shark. Only gets out of the water to assist you. / terrifyingly good boy https://t.co/uXPQMlg,Bruno,None,13.0,"[0, 107]",5156,28268,French_bulldog,0.377417
889665388333682689,,2017-07-25 01:55:32+00:00,iPhone,Here's a puppo that seems to be on the fence about something haha no but seriously someone help her. / https://t.co/BxvuXkUCm,,puppo,13.0,"[0, 106]",8538,38818,Pembroke,0.966327
889638837579907072,,2017-07-25 00:10:02+00:00,iPhone,This is Ted. He does his best. Sometimes that's not enough. But it's ok. / would assist https://t.co/fdEDcrKSR,Ted,None,12.0,"[0, 91]",4735,27672,French_bulldog,0.99165
889531135344209921,,2017-07-24 17:02:04+00:00,iPhone,This is Stuart. He's sporting his favorite fanny pack. Secretly filled with bones only. / puppared puppo #BarkWeek https://t.co/yohisq,Stuart,puppo,13.0,"[0, 118]",2321,15359,golden_retriever,0.953442
889278841981685760,,2017-07-24 00:19:32+00:00,iPhone,This is Oliver. You're witnessing one of his many brutal attacks. Seems to be playing with his victim. / fr*ckin frightening #BarkWeek https://t.co/WpHvrQedPb,Oliver,None,13.0,"[0, 138]",5637,25652,whippet,0.626152
888917238123831296,,2017-07-23 00:22:39+00:00,iPhone,This is Jim. He found a fren. Taught him how to sit like the good boys. / for both https://t.co/chxruIOUJN,Jim,None,12.0,"[0, 86]",4709,29611,golden_retriever,0.714719
888804989199671297,,2017-07-22 16:56:37+00:00,iPhone,This is Zeke. He has a new stick. Very proud of it. Would like you to throw it for him without taking it. / would do my best https://t.co/HTQyNQK,Zeke,None,13.0,"[0, 128]",4559,26080,golden_retriever,0.46976
888554962724278272,,2017-07-22 00:23:06+00:00,iPhone,This is Ralphus. He's powering up. Attempting maximum borkdrive. / inspirational af https://t.co/YnYAFCTTiK,Ralphus,None,13.0,"[0, 87]",3732,20290,Siberian_husky,0.700377
888078434458587136,,2017-07-20 16:49:33+00:00,iPhone,This is Gerald. He was just told he didn't get the job he interviewed for. A h*ckin injustice. / didn't want the job anyway https://t.co/DKiDPfuRX,Gerald,None,12.0,"[0, 127]",3653,22201,French_bulldog,0.995026
887705289381826560,,2017-07-19 16:06:48+00:00,iPhone,This is Jeffrey. He has a monopoly on the pool noodles. Currently running a 'boop for two' midweek sale. / h*ckin strategic https://t.co/PhrUkQ,Jeffrey,None,13.0,"[0, 127]",5609,30779,basset,0.821664
887517139158093824,,2017-07-19 03:39:09+00:00,iPhone,I've yet to rate a Venezuelan Hover Wiener. This is such an honor. / paw-inspiring af (IG: roxy.thedoxy) https://t.co/VrLAAba,,None,14.0,"[0, 108]",12082,46959,NaN,0.0
887473957103951883,,2017-07-19 00:47:34+00:00,iPhone,This is Canela. She attempted some fancy porch pics. They were unsuccessful. / someone help her https://t.co/cLyzpcUcMX,Canela,None,13.0,"[0, 99]",18781,69871,Pembroke,0.809197
887343217045368832,,2017-07-18 16:08:03+00:00,iPhone,You may not have known you needed to see this today. / please enjoy (IG: emmylouroo) https://t.co/WZqNqygEyV,,None,13.0,"[0, 88]",10737,34222,Mexican_hairless,0.330741
887101392804085760,,2017-07-18 00:07:08+00:00,iPhone,This... is a Jubilant Antarctic House Bear. We only rate dogs. Please only send dogs. Thank you... / would suffocate in floof https://t.co/AdjzJSdp,,None,12.0,"[0, 129]",6167,31061,Samoyed,0.733942
886983233522544640,,2017-07-17 16:17:36+00:00,iPhone,This is Maya. She's very shy. Rarely leaves her cup. / would find her an environment to thrive in https://t.co/IoNyCgiT,Maya,None,13.0,"[0, 101]",8084,35859,Chihuahua,0.793469
886736880519319552,,2017-07-16 23:58:41+00:00,iPhone,"This is Mingus. He's a wonderful father to his smol pup. Confirmed /, but he needs your help

https://t.co/bViYrCff https://t.co/ISvKOSkdb",Mingus,None,13.0,"[0, 121]",3443,12306,kuvasz,0.309706
